State,Population_2020
Andaman and Nicobar Islands,380581
Andhra Pradesh,56300951
Arunachal Pradesh,1577451
Assam,35574357
Bihar,118673378
Chandigarh,1182104
Chhattisgarh,29121527
Dadra and Nagar Haveli and Daman and Diu,628201
Delhi,19138252
Goa,1662741
Gujarat,68901251
Haryana,28900666
Himachal Pradesh,7825647
Jammu and Kashmir,14297083
Jharkhand,37606472
Karnataka,69648642
Kerala,38082910
Madhya Pradesh,82794567
Maharashtra,128106739
Manipur,3255606
Meghalaya,3382255
Mizoram,1250814
Nagaland,2255493
Odisha,47850610
Puducherry,1247953
Punjab,31627406
Rajasthan,78145219
Sikkim,696058
Tamil Nadu,82247613
Telangana,41039841
Tripura,2445523
Uttar Pradesh,227786067
Uttarakhand,11498373
West Bengal,104054771
