State,Senior_citizen
Andaman and Nicobar Islands,25000
Andhra Pradesh,4787910
Arunachal Pradesh,64000
Assam,2079000
Bihar,7707000
Chandigarh,67000
Chhattisgarh,2004000
Dadra and Nagar Haveli and Daman and Diu,25000
Delhi,1147000
Goa,163000
Gujarat,4787000
Haryana,2194000
Himachal Pradesh,703000
Jammu and Kashmir,923000
Jharkhand,2357000
Karnataka,5791000
Kerala,4193000
Madhya Pradesh,5713000
Maharashtra,11107000
Manipur,200000
Meghalaya,139000
Mizoram,69000
Nagaland,103000
Odisha,3984000
Puducherry,120000
Punjab,2866000
Rajasthan,5112000
Sikkim,41000
Tamil Nadu,7510000
Telangana,3490090
Tripura,290000
Uttar Pradesh,15440000
Uttarakhand,901000
West Bengal,7742000
